Stage 2: Starting BQSR for SRR10286930.sorted.dedupe.bam
Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx20G -XX:+UseParallelGC -XX:ParallelGCThreads=10 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar BaseRecalibrator -L /export/home/andrew/genome/hg38_v0_20231023/wgs_coverage_regions.hg38.interval_list -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I SRR10286930.sorted.dedupe.bam --known-sites /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.dbsnp138.vcf --known-sites /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.known_indels.vcf.gz --known-sites /export/home/andrew/genome/hg38_v0_20231023/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz -O SRR10286930.sorted.dedupe.recal_data.table
01:33:11.366 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
01:33:23.689 INFO  BaseRecalibrator - ------------------------------------------------------------
01:33:23.699 INFO  BaseRecalibrator - The Genome Analysis Toolkit (GATK) v4.5.0.0
01:33:23.700 INFO  BaseRecalibrator - For support and documentation go to https://software.broadinstitute.org/gatk/
01:33:23.701 INFO  BaseRecalibrator - Executing as andrew@compute-0-5 on Linux v5.15.0-75-generic amd64
01:33:23.701 INFO  BaseRecalibrator - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
01:33:23.702 INFO  BaseRecalibrator - Start Date/Time: May 3, 2024 at 1:33:09 AM UTC
01:33:23.702 INFO  BaseRecalibrator - ------------------------------------------------------------
01:33:23.702 INFO  BaseRecalibrator - ------------------------------------------------------------
01:33:23.704 INFO  BaseRecalibrator - HTSJDK Version: 4.1.0
01:33:23.704 INFO  BaseRecalibrator - Picard Version: 3.1.1
01:33:23.704 INFO  BaseRecalibrator - Built for Spark Version: 3.5.0
01:33:23.705 INFO  BaseRecalibrator - HTSJDK Defaults.COMPRESSION_LEVEL : 2
01:33:23.705 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
01:33:23.706 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
01:33:23.706 INFO  BaseRecalibrator - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
01:33:23.706 INFO  BaseRecalibrator - Deflater: IntelDeflater
01:33:23.706 INFO  BaseRecalibrator - Inflater: IntelInflater
01:33:23.707 INFO  BaseRecalibrator - GCS max retries/reopens: 20
01:33:23.707 INFO  BaseRecalibrator - Requester pays: disabled
01:33:23.708 INFO  BaseRecalibrator - Initializing engine
01:33:25.694 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.dbsnp138.vcf
01:33:35.697 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.known_indels.vcf.gz
01:33:39.674 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/hg38_v0_20231023/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
01:33:43.430 INFO  FeatureManager - Using codec IntervalListCodec to read file file:///export/home/andrew/genome/hg38_v0_20231023/wgs_coverage_regions.hg38.interval_list
01:33:44.442 INFO  IntervalArgumentCollection - Processing 2875001522 bp from intervals
01:33:44.583 INFO  BaseRecalibrator - Done initializing engine
01:33:44.593 INFO  BaseRecalibrationEngine - The covariates being used here: 
01:33:44.593 INFO  BaseRecalibrationEngine - 	ReadGroupCovariate
01:33:44.593 INFO  BaseRecalibrationEngine - 	QualityScoreCovariate
01:33:44.593 INFO  BaseRecalibrationEngine - 	ContextCovariate
01:33:44.593 INFO  BaseRecalibrationEngine - 	CycleCovariate
01:33:45.067 INFO  ProgressMeter - Starting traversal
01:33:45.068 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
01:33:58.275 INFO  ProgressMeter -           chr1:10031              0.2                  1000           4544.4
01:34:08.799 INFO  ProgressMeter -          chr1:800190              0.4                 13000          32868.4
01:34:18.931 INFO  ProgressMeter -         chr1:1567869              0.6                 45000          79735.4
01:34:28.939 INFO  ProgressMeter -         chr1:2363309              0.7                 86000         117620.2
01:34:38.976 INFO  ProgressMeter -         chr1:2927633              0.9                111000         123543.8
01:34:49.468 INFO  ProgressMeter -         chr1:3200558              1.1                134000         124844.7
01:35:00.131 INFO  ProgressMeter -         chr1:4017770              1.3                178000         142282.4
01:35:10.333 INFO  ProgressMeter -         chr1:5069275              1.4                227000         159737.3
01:35:20.482 INFO  ProgressMeter -         chr1:6108187              1.6                279000         175447.8
01:35:30.708 INFO  ProgressMeter -         chr1:7109615              1.8                334000         189702.7
01:35:40.725 INFO  ProgressMeter -         chr1:7843827              1.9                380000         197136.3
01:35:50.804 INFO  ProgressMeter -         chr1:9060256              2.1                432000         206146.2
01:36:01.069 INFO  ProgressMeter -        chr1:10502159              2.3                492000         217058.8
01:36:11.335 INFO  ProgressMeter -        chr1:11373924              2.4                541000         221924.4
01:36:21.466 INFO  ProgressMeter -        chr1:12340056              2.6                588000         225578.3
01:36:31.841 INFO  ProgressMeter -        chr1:13754779              2.8                635000         228455.6
01:36:41.881 INFO  ProgressMeter -        chr1:14809347              2.9                674000         228717.5
01:36:51.908 INFO  ProgressMeter -        chr1:15991363              3.1                725000         232820.8
01:37:02.040 INFO  ProgressMeter -        chr1:16719167              3.3                760000         231506.2
01:37:12.122 INFO  ProgressMeter -        chr1:17675893              3.5                796000         230664.5
01:37:22.314 INFO  ProgressMeter -        chr1:18591592              3.6                834000         230339.0
01:37:32.443 INFO  ProgressMeter -        chr1:19808980              3.8                881000         232479.4
01:37:42.455 INFO  ProgressMeter -        chr1:21081680              4.0                932000         235564.7
01:37:52.600 INFO  ProgressMeter -        chr1:22423133              4.1                992000         240454.7
01:38:02.666 INFO  ProgressMeter -        chr1:23415377              4.3               1050000         244567.1
01:38:12.700 INFO  ProgressMeter -        chr1:24579458              4.5               1103000         247280.8
01:38:22.756 INFO  ProgressMeter -        chr1:25907676              4.6               1163000         251289.2
01:38:32.805 INFO  ProgressMeter -        chr1:27122807              4.8               1211000         252522.3
01:38:42.839 INFO  ProgressMeter -        chr1:28532018              5.0               1264000         254692.4
01:38:54.458 INFO  ProgressMeter -        chr1:30056357              5.2               1325000         256957.2
01:39:04.613 INFO  ProgressMeter -        chr1:30737550              5.3               1352000         253861.8
01:39:14.801 INFO  ProgressMeter -        chr1:31431794              5.5               1382000         251477.0
01:39:25.196 INFO  ProgressMeter -        chr1:32224181              5.7               1423000         251023.1
01:39:35.512 INFO  ProgressMeter -        chr1:33781856              5.8               1484000         254077.7
01:39:46.338 INFO  ProgressMeter -        chr1:35047322              6.0               1532000         254436.4
01:39:56.449 INFO  ProgressMeter -        chr1:36688379              6.2               1595000         257686.8
01:40:06.834 INFO  ProgressMeter -        chr1:37805847              6.4               1640000         257749.5
01:40:17.632 INFO  ProgressMeter -        chr1:39062074              6.5               1689000         258149.6
01:40:27.763 INFO  ProgressMeter -        chr1:40410548              6.7               1740000         259253.3
01:40:38.047 INFO  ProgressMeter -        chr1:41512838              6.9               1787000         259625.8
01:40:48.058 INFO  ProgressMeter -        chr1:42244645              7.0               1828000         259297.5
01:40:58.336 INFO  ProgressMeter -        chr1:43361641              7.2               1869000         258824.2
01:41:08.350 INFO  ProgressMeter -        chr1:44243011              7.4               1911000         258662.1
01:41:18.969 INFO  ProgressMeter -        chr1:45074427              7.6               1944000         256972.9
01:41:29.037 INFO  ProgressMeter -        chr1:46432296              7.7               1998000         258379.9
01:41:42.557 INFO  ProgressMeter -        chr1:47312047              8.0               2037000         255964.0
01:41:52.761 INFO  ProgressMeter -        chr1:48953617              8.1               2102000         258605.3
01:42:03.002 INFO  ProgressMeter -        chr1:50901412              8.3               2173000         261842.5
01:42:13.362 INFO  ProgressMeter -        chr1:52619123              8.5               2241000         264531.9
01:42:23.410 INFO  ProgressMeter -        chr1:53633133              8.6               2298000         266002.5
01:42:33.459 INFO  ProgressMeter -        chr1:55162599              8.8               2361000         268096.9
01:42:43.517 INFO  ProgressMeter -        chr1:56901494              9.0               2427000         270443.4
