Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I APH_subsampled.sorted.final.bam -L chr4 -O called.chr4.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
09:34:41.456 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
09:34:41.460 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
09:34:41.521 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:34:41.831 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.836 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
09:34:41.836 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
09:34:41.836 INFO  HaplotypeCaller - Executing as andrew@compute-0-4 on Linux v5.15.0-102-generic amd64
09:34:41.836 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
09:34:41.837 INFO  HaplotypeCaller - Start Date/Time: April 29, 2024 at 9:34:41 AM UTC
09:34:41.837 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.837 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.838 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
09:34:41.838 INFO  HaplotypeCaller - Picard Version: 3.1.1
09:34:41.838 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
09:34:41.839 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:34:41.839 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:34:41.839 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:34:41.839 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:34:41.839 INFO  HaplotypeCaller - Deflater: IntelDeflater
09:34:41.840 INFO  HaplotypeCaller - Inflater: IntelInflater
09:34:41.840 INFO  HaplotypeCaller - GCS max retries/reopens: 20
09:34:41.840 INFO  HaplotypeCaller - Requester pays: disabled
09:34:41.841 INFO  HaplotypeCaller - Initializing engine
09:34:42.412 INFO  IntervalArgumentCollection - Processing 190214555 bp from intervals
09:34:42.431 INFO  HaplotypeCaller - Done initializing engine
09:34:42.434 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
09:34:42.567 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:34:42.569 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
09:34:42.574 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
09:34:42.574 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
09:34:42.586 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
09:34:42.611 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
09:34:42.612 INFO  IntelPairHmm - Available threads: 10
09:34:42.612 INFO  IntelPairHmm - Requested threads: 8
09:34:42.612 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
09:34:44.060 INFO  ProgressMeter - Starting traversal
09:34:44.061 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:34:45.014 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr4:11197 and possibly subsequent; at least 10 samples must have called genotypes
09:34:54.088 INFO  ProgressMeter -          chr4:530153              0.2                  2090          12506.2
09:34:57.920 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr4:771373 and possibly subsequent; genotype for sample APH_subsampled is not called
09:34:57.921 WARN  StrandBiasBySample - Annotation will not be calculated at position chr4:771373 and possibly subsequent; genotype for sample APH_subsampled is not called
09:35:04.124 INFO  ProgressMeter -         chr4:1095270              0.3                  4870          14564.1
09:35:14.124 INFO  ProgressMeter -         chr4:1846471              0.5                  8580          17124.0
09:35:24.151 INFO  ProgressMeter -         chr4:2789710              0.7                 12800          19156.9
09:35:34.170 INFO  ProgressMeter -         chr4:3728418              0.8                 17010          20368.0
09:35:44.195 INFO  ProgressMeter -         chr4:4307170              1.0                 20110          20065.2
09:35:54.217 INFO  ProgressMeter -         chr4:5057037              1.2                 23680          20252.0
09:36:04.224 INFO  ProgressMeter -         chr4:5791630              1.3                 27320          20448.6
09:36:14.227 INFO  ProgressMeter -         chr4:6491747              1.5                 30860          20535.5
09:36:24.231 INFO  ProgressMeter -         chr4:7199979              1.7                 34450          20634.9
09:36:34.254 INFO  ProgressMeter -         chr4:7740349              1.8                 37430          20380.6
09:36:44.283 INFO  ProgressMeter -         chr4:8340216              2.0                 40510          20217.6
09:36:54.291 INFO  ProgressMeter -         chr4:9180637              2.2                 44460          20483.8
09:37:04.366 INFO  ProgressMeter -         chr4:9731344              2.3                 47330          20240.2
09:37:14.381 INFO  ProgressMeter -        chr4:10257678              2.5                 50170          20025.3
09:37:24.388 INFO  ProgressMeter -        chr4:10991844              2.7                 53880          20163.8
09:37:34.410 INFO  ProgressMeter -        chr4:11673554              2.8                 57260          20168.0
09:37:44.446 INFO  ProgressMeter -        chr4:12582267              3.0                 61450          20439.6
09:37:54.448 INFO  ProgressMeter -        chr4:13316469              3.2                 65170          20538.2
09:38:04.468 INFO  ProgressMeter -        chr4:14233161              3.3                 69410          20780.7
09:38:14.474 INFO  ProgressMeter -        chr4:14995968              3.5                 73170          20864.7
09:38:24.478 INFO  ProgressMeter -        chr4:15811306              3.7                 77090          20984.8
09:38:34.488 INFO  ProgressMeter -        chr4:16630948              3.8                 81000          21091.3
09:38:44.503 INFO  ProgressMeter -        chr4:17487853              4.0                 85090          21233.4
09:38:54.518 INFO  ProgressMeter -        chr4:18231917              4.2                 88840          21282.8
09:39:04.535 INFO  ProgressMeter -        chr4:19229721              4.3                 93330          21498.5
09:39:14.556 INFO  ProgressMeter -        chr4:20180746              4.5                 97730          21678.0
09:39:24.566 INFO  ProgressMeter -        chr4:21169709              4.7                102140          21847.7
09:39:34.577 INFO  ProgressMeter -        chr4:21986295              4.8                105990          21890.0
09:39:44.590 INFO  ProgressMeter -        chr4:23027833              5.0                110500          22061.2
09:39:54.597 INFO  ProgressMeter -        chr4:23896040              5.2                114590          22140.5
09:40:04.598 INFO  ProgressMeter -        chr4:24749435              5.3                118690          22217.2
09:40:14.623 INFO  ProgressMeter -        chr4:25527113              5.5                122510          22236.7
09:40:24.644 INFO  ProgressMeter -        chr4:26507565              5.7                126960          22366.4
09:40:34.661 INFO  ProgressMeter -        chr4:27401134              5.8                131110          22437.5
09:40:44.694 INFO  ProgressMeter -        chr4:28093921              6.0                134700          22410.6
09:40:54.740 INFO  ProgressMeter -        chr4:28945557              6.2                138620          22437.7
09:41:04.744 INFO  ProgressMeter -        chr4:29672037              6.3                142320          22431.3
09:41:14.753 INFO  ProgressMeter -        chr4:30890354              6.5                147410          22638.3
09:41:24.766 INFO  ProgressMeter -        chr4:31900347              6.7                151830          22734.4
09:41:34.778 INFO  ProgressMeter -        chr4:32789333              6.8                155960          22783.6
09:41:44.780 INFO  ProgressMeter -        chr4:33896337              7.0                160620          22906.5
09:41:54.798 INFO  ProgressMeter -        chr4:35160194              7.2                165850          23102.3
09:42:04.815 INFO  ProgressMeter -        chr4:35921602              7.3                169560          23082.3
09:42:14.849 INFO  ProgressMeter -        chr4:36615024              7.5                173120          23042.3
09:42:24.852 INFO  ProgressMeter -        chr4:37172285              7.7                176070          22926.2
09:42:34.896 INFO  ProgressMeter -        chr4:37852744              7.8                179480          22871.8
09:42:44.896 INFO  ProgressMeter -        chr4:38633474              8.0                183250          22866.5
09:42:54.905 INFO  ProgressMeter -        chr4:39490403              8.2                187340          22900.1
09:43:04.929 INFO  ProgressMeter -        chr4:40341018              8.3                191590          22951.0
09:43:14.949 INFO  ProgressMeter -        chr4:41285773              8.5                195980          23016.4
