Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx30G -XX:ParallelGCThreads=4 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar GenotypeGVCFs -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -L chr4 -V called.chr4.recal.g.vcf.gz -O genotype.chr4.vcf.gz
00:32:53.636 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:32:53.938 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:53.942 INFO  GenotypeGVCFs - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:32:53.942 INFO  GenotypeGVCFs - For support and documentation go to https://software.broadinstitute.org/gatk/
00:32:53.943 INFO  GenotypeGVCFs - Executing as andrew@compute-0-2 on Linux v5.15.0-102-generic amd64
00:32:53.943 INFO  GenotypeGVCFs - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
00:32:53.943 INFO  GenotypeGVCFs - Start Date/Time: May 4, 2024 at 12:32:53 AM UTC
00:32:53.943 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:53.943 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:53.945 INFO  GenotypeGVCFs - HTSJDK Version: 4.1.0
00:32:53.945 INFO  GenotypeGVCFs - Picard Version: 3.1.1
00:32:53.945 INFO  GenotypeGVCFs - Built for Spark Version: 3.5.0
00:32:53.946 INFO  GenotypeGVCFs - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:32:53.946 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:32:53.946 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:32:53.947 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:32:53.947 INFO  GenotypeGVCFs - Deflater: IntelDeflater
00:32:53.947 INFO  GenotypeGVCFs - Inflater: IntelInflater
00:32:53.947 INFO  GenotypeGVCFs - GCS max retries/reopens: 20
00:32:53.947 INFO  GenotypeGVCFs - Requester pays: disabled
00:32:53.949 INFO  GenotypeGVCFs - Initializing engine
00:32:54.510 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/analysis_onelane/called.chr4.recal.g.vcf.gz
00:32:54.834 INFO  IntervalArgumentCollection - Processing 190214555 bp from intervals
00:32:54.896 INFO  GenotypeGVCFs - Done initializing engine
00:32:55.102 INFO  ProgressMeter - Starting traversal
00:32:55.103 INFO  ProgressMeter -        Current Locus  Elapsed Minutes    Variants Processed  Variants/Minute
00:32:55.411 WARN  ReferenceConfidenceVariantContextMerger - Detected invalid annotations: When trying to merge variant contexts at location chr4:14380 the annotation MLEAC=[0, 0] was not a numerical value and was ignored
00:32:55.559 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr4:15346 and possibly subsequent; at least 10 samples must have called genotypes
00:33:05.138 INFO  ProgressMeter -         chr4:1324031              0.2                175000        1046442.1
00:33:15.180 INFO  ProgressMeter -         chr4:4185527              0.3                540000        1613867.3
00:33:25.191 INFO  ProgressMeter -         chr4:7089739              0.5                922000        1838606.8
00:33:35.194 INFO  ProgressMeter -        chr4:10420807              0.7               1324000        1981492.1
00:33:45.205 INFO  ProgressMeter -        chr4:13466723              0.8               1767000        2116083.2
00:33:55.206 INFO  ProgressMeter -        chr4:16354944              1.0               2208000        2204216.1
00:34:05.226 INFO  ProgressMeter -        chr4:19464378              1.2               2655000        2271754.9
00:34:15.233 INFO  ProgressMeter -        chr4:22821749              1.3               3095000        2317484.1
00:34:25.247 INFO  ProgressMeter -        chr4:26009887              1.5               3534000        2352236.4
00:34:35.252 INFO  ProgressMeter -        chr4:29151501              1.7               3974000        2380852.5
00:34:45.268 INFO  ProgressMeter -        chr4:32711762              1.8               4412000        2402941.0
00:34:55.286 INFO  ProgressMeter -        chr4:35994723              2.0               4860000        2426299.9
00:35:05.307 INFO  ProgressMeter -        chr4:38590643              2.2               5292000        2438634.8
00:35:15.321 INFO  ProgressMeter -        chr4:41426281              2.3               5735000        2454035.9
00:35:25.329 INFO  ProgressMeter -        chr4:44545142              2.5               6180000        2468281.1
00:35:35.345 INFO  ProgressMeter -        chr4:47742701              2.7               6619000        2478376.5
00:35:45.365 INFO  ProgressMeter -        chr4:52544372              2.8               7024000        2475244.0
00:35:55.375 INFO  ProgressMeter -        chr4:55628559              3.0               7469000        2485910.2
00:36:05.390 INFO  ProgressMeter -        chr4:58763185              3.2               7910000        2494127.3
00:36:15.403 INFO  ProgressMeter -        chr4:61984125              3.3               8348000        2500649.0
00:36:25.421 INFO  ProgressMeter -        chr4:65223196              3.5               8780000        2504778.5
00:36:35.428 INFO  ProgressMeter -        chr4:68283470              3.7               9214000        2509202.3
00:36:45.445 INFO  ProgressMeter -        chr4:71597693              3.8               9650000        2513653.6
00:36:55.460 INFO  ProgressMeter -        chr4:74730343              4.0              10093000        2519502.2
00:37:05.481 INFO  ProgressMeter -        chr4:77654416              4.2              10542000        2526270.4
00:37:15.484 INFO  ProgressMeter -        chr4:80644668              4.3              10990000        2532442.8
00:37:25.493 INFO  ProgressMeter -        chr4:83594397              4.5              11442000        2538999.2
00:37:35.504 INFO  ProgressMeter -        chr4:86614969              4.7              11893000        2544855.4
00:37:45.511 INFO  ProgressMeter -        chr4:89555720              4.8              12345000        2550549.6
00:37:55.525 INFO  ProgressMeter -        chr4:93156099              5.0              12812000        2558800.6
00:38:05.541 INFO  ProgressMeter -        chr4:96298302              5.2              13260000        2562830.6
