Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx30G -XX:ParallelGCThreads=4 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar GenotypeGVCFs -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -L chr1 -V called.chr1.recal.g.vcf.gz -O genotype.chr1.vcf.gz
00:32:54.611 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
00:32:54.832 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.836 INFO  GenotypeGVCFs - The Genome Analysis Toolkit (GATK) v4.5.0.0
00:32:54.836 INFO  GenotypeGVCFs - For support and documentation go to https://software.broadinstitute.org/gatk/
00:32:54.836 INFO  GenotypeGVCFs - Executing as andrew@compute-0-2 on Linux v5.15.0-102-generic amd64
00:32:54.837 INFO  GenotypeGVCFs - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
00:32:54.837 INFO  GenotypeGVCFs - Start Date/Time: May 4, 2024 at 12:32:54 AM UTC
00:32:54.837 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.837 INFO  GenotypeGVCFs - ------------------------------------------------------------
00:32:54.839 INFO  GenotypeGVCFs - HTSJDK Version: 4.1.0
00:32:54.839 INFO  GenotypeGVCFs - Picard Version: 3.1.1
00:32:54.839 INFO  GenotypeGVCFs - Built for Spark Version: 3.5.0
00:32:54.840 INFO  GenotypeGVCFs - HTSJDK Defaults.COMPRESSION_LEVEL : 2
00:32:54.840 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
00:32:54.840 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
00:32:54.841 INFO  GenotypeGVCFs - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
00:32:54.841 INFO  GenotypeGVCFs - Deflater: IntelDeflater
00:32:54.841 INFO  GenotypeGVCFs - Inflater: IntelInflater
00:32:54.842 INFO  GenotypeGVCFs - GCS max retries/reopens: 20
00:32:54.842 INFO  GenotypeGVCFs - Requester pays: disabled
00:32:54.843 INFO  GenotypeGVCFs - Initializing engine
00:32:55.391 INFO  FeatureManager - Using codec VCFCodec to read file file:///export/home/andrew/genome/analysis_onelane/called.chr1.recal.g.vcf.gz
00:32:55.690 INFO  IntervalArgumentCollection - Processing 248956422 bp from intervals
00:32:55.753 INFO  GenotypeGVCFs - Done initializing engine
00:32:55.942 INFO  ProgressMeter - Starting traversal
00:32:55.944 INFO  ProgressMeter -        Current Locus  Elapsed Minutes    Variants Processed  Variants/Minute
00:32:56.054 WARN  ReferenceConfidenceVariantContextMerger - Detected invalid annotations: When trying to merge variant contexts at location chr1:10109 the annotation MLEAC=[1, 0] was not a numerical value and was ignored
00:32:56.134 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr1:10109 and possibly subsequent; at least 10 samples must have called genotypes
00:33:05.967 INFO  ProgressMeter -         chr1:2386731              0.2                195000        1167431.7
00:33:15.983 INFO  ProgressMeter -         chr1:5852679              0.3                579000        1733619.4
00:33:26.000 INFO  ProgressMeter -         chr1:9151972              0.5               1022000        2040191.6
00:33:36.014 INFO  ProgressMeter -        chr1:12531534              0.7               1489000        2229598.2
00:33:46.014 INFO  ProgressMeter -        chr1:16099371              0.8               1947000        2333133.6
00:33:56.024 INFO  ProgressMeter -        chr1:19416167              1.0               2392000        2388814.9
00:34:06.025 INFO  ProgressMeter -        chr1:22510374              1.2               2855000        2444314.4
00:34:16.027 INFO  ProgressMeter -        chr1:25651861              1.3               3318000        2485920.9
00:34:26.047 INFO  ProgressMeter -        chr1:28991339              1.5               3798000        2529133.6
00:34:36.056 INFO  ProgressMeter -        chr1:32443936              1.7               4263000        2554938.5
00:34:46.056 INFO  ProgressMeter -        chr1:35538102              1.8               4735000        2580100.3
00:34:56.071 INFO  ProgressMeter -        chr1:38753047              2.0               5210000        2602246.0
00:35:06.080 INFO  ProgressMeter -        chr1:41918139              2.2               5683000        2620202.1
00:35:16.084 INFO  ProgressMeter -        chr1:45111620              2.3               6158000        2636506.4
00:35:26.096 INFO  ProgressMeter -        chr1:48121587              2.5               6632000        2650114.6
00:35:36.096 INFO  ProgressMeter -        chr1:51545201              2.7               7115000        2665592.7
00:35:46.099 INFO  ProgressMeter -        chr1:54657975              2.8               7590000        2676383.3
00:35:56.108 INFO  ProgressMeter -        chr1:57730671              3.0               8050000        2680890.7
00:36:06.115 INFO  ProgressMeter -        chr1:60836904              3.2               8518000        2687476.0
00:36:16.136 INFO  ProgressMeter -        chr1:63977971              3.3               8986000        2693214.5
00:36:26.154 INFO  ProgressMeter -        chr1:67058371              3.5               9455000        2698729.8
00:36:36.158 INFO  ProgressMeter -        chr1:70230057              3.7               9923000        2703655.1
00:36:46.170 INFO  ProgressMeter -        chr1:73781830              3.8              10390000        2707774.1
00:36:56.184 INFO  ProgressMeter -        chr1:76941630              4.0              10855000        2711039.0
00:37:06.189 INFO  ProgressMeter -        chr1:80053445              4.2              11320000        2714140.1
00:37:16.193 INFO  ProgressMeter -        chr1:83450232              4.3              11782000        2716321.7
00:37:26.204 INFO  ProgressMeter -        chr1:86523335              4.5              12248000        2719159.3
00:37:36.204 INFO  ProgressMeter -        chr1:89506467              4.7              12719000        2722971.5
00:37:46.217 INFO  ProgressMeter -        chr1:92633460              4.8              13188000        2725994.9
00:37:56.222 INFO  ProgressMeter -        chr1:95668823              5.0              13656000        2728671.4
00:38:06.228 INFO  ProgressMeter -        chr1:98867002              5.2              14124000        2731184.1
