Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I analysis_onelane.sorted.final.bam -L chr3 -O called.chr3.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
12:04:55.779 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
12:04:55.801 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
12:04:55.952 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
12:04:56.496 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.503 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
12:04:56.503 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
12:04:56.503 INFO  HaplotypeCaller - Executing as andrew@compute-0-2 on Linux v5.15.0-102-generic amd64
12:04:56.503 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
12:04:56.503 INFO  HaplotypeCaller - Start Date/Time: May 3, 2024 at 12:04:55 PM UTC
12:04:56.504 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.504 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.505 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
12:04:56.505 INFO  HaplotypeCaller - Picard Version: 3.1.1
12:04:56.505 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
12:04:56.505 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
12:04:56.505 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
12:04:56.506 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
12:04:56.506 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
12:04:56.506 INFO  HaplotypeCaller - Deflater: IntelDeflater
12:04:56.506 INFO  HaplotypeCaller - Inflater: IntelInflater
12:04:56.506 INFO  HaplotypeCaller - GCS max retries/reopens: 20
12:04:56.506 INFO  HaplotypeCaller - Requester pays: disabled
12:04:56.507 INFO  HaplotypeCaller - Initializing engine
12:04:57.065 INFO  IntervalArgumentCollection - Processing 198295559 bp from intervals
12:04:57.086 INFO  HaplotypeCaller - Done initializing engine
12:04:57.089 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
12:04:57.217 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
12:04:57.248 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
12:04:57.253 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
12:04:57.253 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
12:04:57.265 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
12:04:57.291 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
12:04:57.292 INFO  IntelPairHmm - Available threads: 10
12:04:57.292 INFO  IntelPairHmm - Requested threads: 8
12:04:57.292 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
12:04:57.412 INFO  ProgressMeter - Starting traversal
12:04:57.413 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
12:04:59.258 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr3:10495 and possibly subsequent; at least 10 samples must have called genotypes
12:05:01.199 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr3:26781 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:01.200 WARN  StrandBiasBySample - Annotation will not be calculated at position chr3:26781 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:07.502 INFO  ProgressMeter -          chr3:133703              0.2                   930           5531.3
12:05:17.517 INFO  ProgressMeter -          chr3:401196              0.3                  2800           8357.0
12:05:27.535 INFO  ProgressMeter -          chr3:745988              0.5                  4990           9939.6
12:05:37.584 INFO  ProgressMeter -         chr3:1065931              0.7                  7270          10858.8
12:05:47.619 INFO  ProgressMeter -         chr3:1430142              0.8                  9780          11687.8
12:05:57.630 INFO  ProgressMeter -         chr3:1680252              1.0                 11650          11608.0
12:06:07.655 INFO  ProgressMeter -         chr3:1973392              1.2                 13740          11736.6
12:06:17.676 INFO  ProgressMeter -         chr3:2291837              1.3                 15930          11908.4
12:06:27.708 INFO  ProgressMeter -         chr3:2647448              1.5                 18310          12166.8
12:06:37.715 INFO  ProgressMeter -         chr3:2946349              1.7                 20380          12191.3
12:06:47.770 INFO  ProgressMeter -         chr3:3231233              1.8                 22360          12156.9
12:06:57.778 INFO  ProgressMeter -         chr3:3563853              2.0                 24480          12202.9
12:07:07.795 INFO  ProgressMeter -         chr3:3866531              2.2                 26590          12236.4
12:07:17.803 INFO  ProgressMeter -         chr3:4171811              2.3                 28680          12257.3
12:07:27.842 INFO  ProgressMeter -         chr3:4496756              2.5                 30910          12328.7
12:07:37.901 INFO  ProgressMeter -         chr3:4817720              2.7                 33060          12359.8
12:07:47.914 INFO  ProgressMeter -         chr3:5157062              2.8                 35420          12464.4
12:07:57.929 INFO  ProgressMeter -         chr3:5352247              3.0                 36760          12218.3
12:08:07.938 INFO  ProgressMeter -         chr3:5718004              3.2                 39130          12322.8
12:08:17.965 INFO  ProgressMeter -         chr3:6030033              3.3                 41350          12370.9
12:08:28.000 INFO  ProgressMeter -         chr3:6410127              3.5                 43860          12496.5
12:08:38.009 INFO  ProgressMeter -         chr3:6719891              3.7                 46010          12514.3
12:08:48.024 INFO  ProgressMeter -         chr3:7086598              3.8                 48450          12605.6
12:08:58.026 INFO  ProgressMeter -         chr3:7420233              4.0                 50710          12645.3
12:09:08.053 INFO  ProgressMeter -         chr3:7772279              4.2                 53050          12699.5
12:09:18.108 INFO  ProgressMeter -         chr3:8073416              4.3                 55220          12709.1
12:09:28.138 INFO  ProgressMeter -         chr3:8370842              4.5                 57270          12692.6
12:09:38.147 INFO  ProgressMeter -         chr3:8690049              4.7                 59460          12708.1
12:09:48.179 INFO  ProgressMeter -         chr3:9039148              4.8                 61780          12748.4
12:09:58.193 INFO  ProgressMeter -         chr3:9398184              5.0                 64150          12796.7
12:10:08.261 INFO  ProgressMeter -         chr3:9831135              5.2                 66980          12928.5
12:10:18.301 INFO  ProgressMeter -        chr3:10150305              5.3                 69240          12946.6
12:10:28.337 INFO  ProgressMeter -        chr3:10506679              5.5                 71720          13003.6
12:10:38.367 INFO  ProgressMeter -        chr3:10904471              5.7                 74220          13061.0
12:10:48.379 INFO  ProgressMeter -        chr3:11306981              5.8                 76880          13143.2
12:10:58.406 INFO  ProgressMeter -        chr3:11653635              6.0                 79240          13170.3
12:11:08.435 INFO  ProgressMeter -        chr3:11997952              6.2                 81580          13192.7
12:11:18.463 INFO  ProgressMeter -        chr3:12428703              6.4                 84260          13267.6
12:11:28.493 INFO  ProgressMeter -        chr3:12799398              6.5                 86790          13315.4
12:11:38.625 INFO  ProgressMeter -        chr3:13158419              6.7                 89180          13336.6
12:11:48.652 INFO  ProgressMeter -        chr3:13492894              6.9                 91360          13329.5
12:11:58.668 INFO  ProgressMeter -        chr3:13759083              7.0                 93180          13271.8
12:12:08.705 INFO  ProgressMeter -        chr3:14095116              7.2                 95440          13277.3
12:12:21.930 INFO  ProgressMeter -        chr3:14255072              7.4                 96490          13024.0
12:12:37.931 INFO  ProgressMeter -        chr3:14256654              7.7                 96500          12572.8
12:12:47.947 INFO  ProgressMeter -        chr3:14597528              7.8                 98860          12606.1
12:12:57.971 INFO  ProgressMeter -        chr3:14957511              8.0                101260          12642.8
12:13:07.973 INFO  ProgressMeter -        chr3:15404157              8.2                104100          12732.4
12:13:17.994 INFO  ProgressMeter -        chr3:15823904              8.3                106650          12783.1
12:13:28.028 INFO  ProgressMeter -        chr3:16163078              8.5                108920          12798.7
12:13:38.029 INFO  ProgressMeter -        chr3:16476171              8.7                111060          12799.5
12:13:48.052 INFO  ProgressMeter -        chr3:16804778              8.8                113310          12812.1
12:13:58.085 INFO  ProgressMeter -        chr3:17212459              9.0                115820          12852.9
12:14:08.089 INFO  ProgressMeter -        chr3:17619248              9.2                118390          12899.4
12:14:18.106 INFO  ProgressMeter -        chr3:18008131              9.3                120880          12935.4
12:14:28.129 INFO  ProgressMeter -        chr3:18412791              9.5                123450          12978.4
12:14:38.149 INFO  ProgressMeter -        chr3:18764073              9.7                125830          13000.4
12:14:48.154 INFO  ProgressMeter -        chr3:19157129              9.8                128360          13037.2
12:14:58.156 INFO  ProgressMeter -        chr3:19621477             10.0                131180          13101.8
12:15:08.177 INFO  ProgressMeter -        chr3:19957687             10.2                133540          13118.7
12:15:18.187 INFO  ProgressMeter -        chr3:20380971             10.3                136300          13173.9
