Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I APH_subsampled.sorted.final.bam -L chr10 -O called.chr10.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
09:34:41.456 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
09:34:41.461 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
09:34:41.521 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:34:41.780 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.784 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
09:34:41.785 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
09:34:41.785 INFO  HaplotypeCaller - Executing as andrew@compute-0-7 on Linux v5.15.0-75-generic amd64
09:34:41.785 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
09:34:41.785 INFO  HaplotypeCaller - Start Date/Time: April 29, 2024 at 9:34:41 AM UTC
09:34:41.785 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.785 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.786 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
09:34:41.787 INFO  HaplotypeCaller - Picard Version: 3.1.1
09:34:41.787 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
09:34:41.787 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:34:41.787 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:34:41.787 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:34:41.788 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:34:41.788 INFO  HaplotypeCaller - Deflater: IntelDeflater
09:34:41.788 INFO  HaplotypeCaller - Inflater: IntelInflater
09:34:41.788 INFO  HaplotypeCaller - GCS max retries/reopens: 20
09:34:41.788 INFO  HaplotypeCaller - Requester pays: disabled
09:34:41.789 INFO  HaplotypeCaller - Initializing engine
09:34:42.332 INFO  IntervalArgumentCollection - Processing 133797422 bp from intervals
09:34:42.350 INFO  HaplotypeCaller - Done initializing engine
09:34:42.353 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
09:34:42.473 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:34:42.475 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
09:34:42.480 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
09:34:42.480 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
09:34:42.492 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
09:34:42.516 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
09:34:42.516 INFO  IntelPairHmm - Available threads: 10
09:34:42.517 INFO  IntelPairHmm - Requested threads: 8
09:34:42.517 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
09:34:43.754 INFO  ProgressMeter - Starting traversal
09:34:43.794 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:34:44.617 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr10:11133 and possibly subsequent; at least 10 samples must have called genotypes
09:34:53.801 INFO  ProgressMeter -         chr10:373074              0.2                  1740          10434.8
09:34:57.910 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr10:604451 and possibly subsequent; genotype for sample APH_subsampled is not called
09:34:57.911 WARN  StrandBiasBySample - Annotation will not be calculated at position chr10:604451 and possibly subsequent; genotype for sample APH_subsampled is not called
09:35:03.801 INFO  ProgressMeter -         chr10:838441              0.3                  4020          12057.0
09:35:13.813 INFO  ProgressMeter -        chr10:1416870              0.5                  6950          13891.7
09:35:23.836 INFO  ProgressMeter -        chr10:1955748              0.7                  9770          14640.4
09:35:33.843 INFO  ProgressMeter -        chr10:2513265              0.8                 12760          15297.3
09:35:43.852 INFO  ProgressMeter -        chr10:3032309              1.0                 15580          15565.5
09:35:53.858 INFO  ProgressMeter -        chr10:3578329              1.2                 18420          15774.6
09:36:03.888 INFO  ProgressMeter -        chr10:4245800              1.3                 21800          16331.2
09:36:13.910 INFO  ProgressMeter -        chr10:4887302              1.5                 25100          16712.2
09:36:23.922 INFO  ProgressMeter -        chr10:5464599              1.7                 28250          16928.7
09:36:33.937 INFO  ProgressMeter -        chr10:6161436              1.8                 31860          17355.9
09:36:43.953 INFO  ProgressMeter -        chr10:6755207              2.0                 35060          17506.9
09:36:53.961 INFO  ProgressMeter -        chr10:7521402              2.2                 38930          17944.8
09:37:03.990 INFO  ProgressMeter -        chr10:8340878              2.3                 43000          18402.9
09:37:13.996 INFO  ProgressMeter -        chr10:9021668              2.5                 46540          18591.1
09:37:24.012 INFO  ProgressMeter -        chr10:9884352              2.7                 50730          18998.0
09:37:34.018 INFO  ProgressMeter -       chr10:10540519              2.8                 54070          19058.5
09:37:44.044 INFO  ProgressMeter -       chr10:11422070              3.0                 58180          19366.7
09:37:54.050 INFO  ProgressMeter -       chr10:12196281              3.2                 62100          19584.2
09:38:04.050 INFO  ProgressMeter -       chr10:12963958              3.3                 66010          19777.8
09:38:14.056 INFO  ProgressMeter -       chr10:13741134              3.5                 70010          19978.1
09:38:24.056 INFO  ProgressMeter -       chr10:14391610              3.7                 73470          20013.5
09:38:34.075 INFO  ProgressMeter -       chr10:15252587              3.8                 77630          20226.7
09:38:44.080 INFO  ProgressMeter -       chr10:16092223              4.0                 81690          20398.3
09:38:54.092 INFO  ProgressMeter -       chr10:17012168              4.2                 86090          20637.2
09:39:04.094 INFO  ProgressMeter -       chr10:17802642              4.3                 89940          20731.6
09:39:14.106 INFO  ProgressMeter -       chr10:18614639              4.5                 94050          20876.0
09:39:24.116 INFO  ProgressMeter -       chr10:19389026              4.7                 98030          20982.4
09:39:34.132 INFO  ProgressMeter -       chr10:20141976              4.8                101820          21041.8
09:39:44.136 INFO  ProgressMeter -       chr10:20927771              5.0                105760          21128.0
09:39:54.141 INFO  ProgressMeter -       chr10:22463391              5.2                111910          21635.9
09:40:04.154 INFO  ProgressMeter -       chr10:23950095              5.3                117890          22079.6
09:40:14.161 INFO  ProgressMeter -       chr10:24977312              5.5                122510          22249.9
09:40:24.172 INFO  ProgressMeter -       chr10:25943494              5.7                126890          22367.6
09:40:34.176 INFO  ProgressMeter -       chr10:26847523              5.8                131070          22444.7
09:40:44.191 INFO  ProgressMeter -       chr10:27744542              6.0                135400          22541.9
09:40:54.215 INFO  ProgressMeter -       chr10:28656568              6.2                139810          22646.2
09:41:04.217 INFO  ProgressMeter -       chr10:29366184              6.3                143510          22634.3
09:41:14.229 INFO  ProgressMeter -       chr10:30211079              6.5                147590          22680.9
09:41:24.244 INFO  ProgressMeter -       chr10:30914445              6.7                151290          22668.1
09:41:34.254 INFO  ProgressMeter -       chr10:32057785              6.8                156320          22850.5
09:41:44.281 INFO  ProgressMeter -       chr10:32821022              7.0                160300          22873.5
09:41:54.294 INFO  ProgressMeter -       chr10:33853512              7.2                164940          22988.3
09:42:04.303 INFO  ProgressMeter -       chr10:34913252              7.3                169640          23106.1
09:42:14.348 INFO  ProgressMeter -       chr10:36014649              7.5                174510          23239.4
09:42:24.349 INFO  ProgressMeter -       chr10:36741111              7.7                178280          23226.0
09:42:34.360 INFO  ProgressMeter -       chr10:37770232              7.8                182910          23322.2
09:42:45.047 INFO  ProgressMeter -       chr10:38527245              8.0                186740          23281.8
09:42:55.065 INFO  ProgressMeter -       chr10:38693005              8.2                187740          22929.1
09:43:05.440 INFO  ProgressMeter -       chr10:38957391              8.4                189400          22653.5
09:43:15.462 INFO  ProgressMeter -       chr10:39064831              8.5                190130          22295.4
