Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I APH_subsampled.sorted.final.bam -L chr9 -O called.chr9.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
09:34:41.443 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
09:34:41.448 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
09:34:41.509 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
09:34:41.761 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.765 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
09:34:41.766 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
09:34:41.766 INFO  HaplotypeCaller - Executing as andrew@compute-0-7 on Linux v5.15.0-75-generic amd64
09:34:41.766 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
09:34:41.766 INFO  HaplotypeCaller - Start Date/Time: April 29, 2024 at 9:34:41 AM UTC
09:34:41.766 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.766 INFO  HaplotypeCaller - ------------------------------------------------------------
09:34:41.767 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
09:34:41.767 INFO  HaplotypeCaller - Picard Version: 3.1.1
09:34:41.768 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
09:34:41.768 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:34:41.768 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:34:41.768 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:34:41.769 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:34:41.769 INFO  HaplotypeCaller - Deflater: IntelDeflater
09:34:41.769 INFO  HaplotypeCaller - Inflater: IntelInflater
09:34:41.769 INFO  HaplotypeCaller - GCS max retries/reopens: 20
09:34:41.769 INFO  HaplotypeCaller - Requester pays: disabled
09:34:41.770 INFO  HaplotypeCaller - Initializing engine
09:34:42.325 INFO  IntervalArgumentCollection - Processing 138394717 bp from intervals
09:34:42.344 INFO  HaplotypeCaller - Done initializing engine
09:34:42.346 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
09:34:42.463 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
09:34:42.465 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
09:34:42.470 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
09:34:42.470 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
09:34:42.482 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
09:34:42.507 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
09:34:42.507 INFO  IntelPairHmm - Available threads: 10
09:34:42.507 INFO  IntelPairHmm - Requested threads: 8
09:34:42.507 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
09:34:43.090 INFO  ProgressMeter - Starting traversal
09:34:43.091 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
09:34:44.418 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr9:10576 and possibly subsequent; at least 10 samples must have called genotypes
09:34:53.141 INFO  ProgressMeter -          chr9:364313              0.2                  1730          10329.4
09:35:01.818 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr9:734108 and possibly subsequent; genotype for sample APH_subsampled is not called
09:35:01.819 WARN  StrandBiasBySample - Annotation will not be calculated at position chr9:734108 and possibly subsequent; genotype for sample APH_subsampled is not called
09:35:03.162 INFO  ProgressMeter -          chr9:809465              0.3                  4030          12047.8
09:35:13.161 INFO  ProgressMeter -         chr9:1422647              0.5                  7200          14366.5
09:35:23.164 INFO  ProgressMeter -         chr9:2291901              0.7                 11240          16829.3
09:35:33.189 INFO  ProgressMeter -         chr9:2984776              0.8                 14740          17653.4
09:35:43.218 INFO  ProgressMeter -         chr9:3868793              1.0                 18820          18780.2
09:35:53.218 INFO  ProgressMeter -         chr9:4425010              1.2                 21740          18600.5
09:36:03.237 INFO  ProgressMeter -         chr9:5163895              1.3                 25420          19030.3
09:36:13.249 INFO  ProgressMeter -         chr9:6081636              1.5                 29740          19791.9
09:36:23.250 INFO  ProgressMeter -         chr9:6778399              1.7                 33400          20008.2
09:36:33.267 INFO  ProgressMeter -         chr9:7300851              1.8                 36280          19757.5
09:36:43.288 INFO  ProgressMeter -         chr9:8036746              2.0                 40000          19967.4
09:36:53.306 INFO  ProgressMeter -         chr9:8748245              2.2                 43530          20057.6
09:37:03.310 INFO  ProgressMeter -         chr9:9456578              2.3                 47160          20179.9
09:37:13.316 INFO  ProgressMeter -        chr9:10303009              2.5                 51120          20417.4
09:37:23.346 INFO  ProgressMeter -        chr9:11014799              2.7                 54770          20506.1
09:37:33.365 INFO  ProgressMeter -        chr9:11610099              2.8                 58020          20444.7
09:37:43.381 INFO  ProgressMeter -        chr9:12359322              3.0                 61830          20576.8
09:37:53.397 INFO  ProgressMeter -        chr9:13065132              3.2                 65350          20603.7
09:38:03.407 INFO  ProgressMeter -        chr9:13978153              3.3                 69500          20817.1
09:38:13.424 INFO  ProgressMeter -        chr9:14804267              3.5                 73520          20972.5
09:38:23.439 INFO  ProgressMeter -        chr9:15554925              3.7                 77240          21032.2
09:38:33.459 INFO  ProgressMeter -        chr9:16325707              3.8                 80990          21094.1
09:38:43.467 INFO  ProgressMeter -        chr9:17042601              4.0                 84640          21126.9
09:38:53.480 INFO  ProgressMeter -        chr9:17761337              4.2                 88410          21185.4
09:39:03.494 INFO  ProgressMeter -        chr9:18571735              4.3                 92420          21294.7
09:39:13.504 INFO  ProgressMeter -        chr9:19462593              4.5                 96700          21456.1
09:39:23.553 INFO  ProgressMeter -        chr9:20255676              4.7                100640          21530.2
09:39:33.564 INFO  ProgressMeter -        chr9:21103451              4.8                104760          21639.2
09:39:43.580 INFO  ProgressMeter -        chr9:22122914              5.0                109310          21826.4
09:39:53.593 INFO  ProgressMeter -        chr9:22886340              5.2                113180          21870.4
09:40:03.609 INFO  ProgressMeter -        chr9:23871842              5.3                117720          22036.9
09:40:13.633 INFO  ProgressMeter -        chr9:25097380              5.5                122950          22317.9
09:40:23.638 INFO  ProgressMeter -        chr9:25939133              5.7                126970          22370.5
09:40:33.638 INFO  ProgressMeter -        chr9:26810392              5.8                131200          22456.3
09:40:43.648 INFO  ProgressMeter -        chr9:27630015              6.0                135140          22488.5
09:40:53.655 INFO  ProgressMeter -        chr9:28403881              6.2                139060          22515.9
09:41:03.667 INFO  ProgressMeter -        chr9:29247323              6.3                143190          22574.7
09:41:13.678 INFO  ProgressMeter -        chr9:29918080              6.5                146680          22532.2
09:41:23.680 INFO  ProgressMeter -        chr9:30750811              6.7                150720          22574.8
09:41:33.796 INFO  ProgressMeter -        chr9:31197495              6.8                153280          22392.7
09:41:43.845 INFO  ProgressMeter -        chr9:32083988              7.0                157400          22445.5
09:41:53.852 INFO  ProgressMeter -        chr9:32854911              7.2                161210          22454.7
09:42:03.880 INFO  ProgressMeter -        chr9:33666761              7.3                165160          22481.5
09:42:13.892 INFO  ProgressMeter -        chr9:34688407              7.5                169850          22606.4
09:42:23.903 INFO  ProgressMeter -        chr9:35667357              7.7                174410          22709.0
09:42:33.914 INFO  ProgressMeter -        chr9:36726623              7.8                179230          22840.4
09:42:43.916 INFO  ProgressMeter -        chr9:37519118              8.0                183120          22850.7
09:42:53.923 INFO  ProgressMeter -        chr9:38391257              8.2                187310          22897.0
09:43:03.976 INFO  ProgressMeter -        chr9:39020072              8.3                190300          22795.7
09:43:13.989 INFO  ProgressMeter -        chr9:40039907              8.5                194560          22849.2
