Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I analysis_onelane.sorted.final.bam -L chr12 -O called.chr12.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
12:04:55.951 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
12:04:55.960 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
12:04:56.070 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
12:04:56.532 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.540 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
12:04:56.541 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
12:04:56.541 INFO  HaplotypeCaller - Executing as andrew@compute-0-7 on Linux v5.15.0-75-generic amd64
12:04:56.541 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
12:04:56.542 INFO  HaplotypeCaller - Start Date/Time: May 3, 2024 at 12:04:55 PM UTC
12:04:56.542 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.542 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.543 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
12:04:56.544 INFO  HaplotypeCaller - Picard Version: 3.1.1
12:04:56.544 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
12:04:56.544 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
12:04:56.545 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
12:04:56.545 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
12:04:56.545 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
12:04:56.546 INFO  HaplotypeCaller - Deflater: IntelDeflater
12:04:56.546 INFO  HaplotypeCaller - Inflater: IntelInflater
12:04:56.546 INFO  HaplotypeCaller - GCS max retries/reopens: 20
12:04:56.546 INFO  HaplotypeCaller - Requester pays: disabled
12:04:56.547 INFO  HaplotypeCaller - Initializing engine
12:04:57.169 INFO  IntervalArgumentCollection - Processing 133275309 bp from intervals
12:04:57.194 INFO  HaplotypeCaller - Done initializing engine
12:04:57.197 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
12:04:57.324 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
12:04:57.334 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
12:04:57.338 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
12:04:57.338 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
12:04:57.353 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
12:04:57.380 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
12:04:57.380 INFO  IntelPairHmm - Available threads: 10
12:04:57.380 INFO  IntelPairHmm - Requested threads: 8
12:04:57.380 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
12:04:57.511 INFO  ProgressMeter - Starting traversal
12:04:57.512 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
12:05:00.027 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr12:12423 and possibly subsequent; at least 10 samples must have called genotypes
12:05:06.666 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr12:76086 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:06.667 WARN  StrandBiasBySample - Annotation will not be calculated at position chr12:76086 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:07.544 INFO  ProgressMeter -         chr12:108780              0.2                   710           4247.3
12:05:17.557 INFO  ProgressMeter -         chr12:411700              0.3                  2780           8322.1
12:05:31.998 INFO  ProgressMeter -         chr12:513077              0.6                  3490           6072.2
12:05:42.037 INFO  ProgressMeter -         chr12:842767              0.7                  5730           7721.7
12:05:52.068 INFO  ProgressMeter -        chr12:1202444              0.9                  8170           8985.6
12:06:02.070 INFO  ProgressMeter -        chr12:1577612              1.1                 10660           9907.5
12:06:12.115 INFO  ProgressMeter -        chr12:1913208              1.2                 12940          10407.2
12:06:22.132 INFO  ProgressMeter -        chr12:2277720              1.4                 15340          10877.1
12:06:36.214 INFO  ProgressMeter -        chr12:2438618              1.6                 16380           9957.3
12:06:49.358 INFO  ProgressMeter -        chr12:2720161              1.9                 18350           9844.0
12:06:59.377 INFO  ProgressMeter -        chr12:2894927              2.0                 19520           9610.7
12:07:09.403 INFO  ProgressMeter -        chr12:3222027              2.2                 21870           9949.2
12:07:19.411 INFO  ProgressMeter -        chr12:3562957              2.4                 24230          10245.5
12:07:29.430 INFO  ProgressMeter -        chr12:3887922              2.5                 26390          10422.8
12:07:39.446 INFO  ProgressMeter -        chr12:4279761              2.7                 28920          10715.5
12:07:49.448 INFO  ProgressMeter -        chr12:4673484              2.9                 31470          10982.1
12:07:59.481 INFO  ProgressMeter -        chr12:5002497              3.0                 33720          11118.5
12:08:09.488 INFO  ProgressMeter -        chr12:5362678              3.2                 36150          11298.4
12:08:19.498 INFO  ProgressMeter -        chr12:5660654              3.4                 38190          11344.5
12:08:29.504 INFO  ProgressMeter -        chr12:5993702              3.5                 40480          11457.1
12:08:39.533 INFO  ProgressMeter -        chr12:6385125              3.7                 43180          11669.2
12:08:49.556 INFO  ProgressMeter -        chr12:6787754              3.9                 45950          11881.4
12:09:15.503 INFO  ProgressMeter -        chr12:7085549              4.3                 47890          11137.7
12:09:25.533 INFO  ProgressMeter -        chr12:7502579              4.5                 50560          11318.6
12:09:35.543 INFO  ProgressMeter -        chr12:7825551              4.6                 52940          11424.7
12:09:45.594 INFO  ProgressMeter -        chr12:8176241              4.8                 55390          11536.3
12:09:55.623 INFO  ProgressMeter -        chr12:8396868              5.0                 57060          11484.4
12:10:05.631 INFO  ProgressMeter -        chr12:8790496              5.1                 59590          11604.0
12:10:15.645 INFO  ProgressMeter -        chr12:9166981              5.3                 62170          11725.4
12:10:25.668 INFO  ProgressMeter -        chr12:9467043              5.5                 64350          11765.8
12:10:35.701 INFO  ProgressMeter -        chr12:9861807              5.6                 66760          11844.3
12:10:45.715 INFO  ProgressMeter -       chr12:10156313              5.8                 68790          11853.5
12:10:55.728 INFO  ProgressMeter -       chr12:10483336              6.0                 71170          11920.8
12:11:05.732 INFO  ProgressMeter -       chr12:10768785              6.1                 73180          11924.4
12:11:15.762 INFO  ProgressMeter -       chr12:11068747              6.3                 75190          11927.1
12:11:25.762 INFO  ProgressMeter -       chr12:11215629              6.5                 76260          11785.2
12:11:35.775 INFO  ProgressMeter -       chr12:11599772              6.6                 78830          11876.1
12:11:45.783 INFO  ProgressMeter -       chr12:11963538              6.8                 81270          11943.6
12:11:55.820 INFO  ProgressMeter -       chr12:12244608              7.0                 83110          11920.9
12:12:07.360 INFO  ProgressMeter -       chr12:12591496              7.2                 85420          11923.3
12:12:17.416 INFO  ProgressMeter -       chr12:12955830              7.3                 87970          11998.6
12:12:39.369 INFO  ProgressMeter -       chr12:13141315              7.7                 89230          11591.9
12:12:49.369 INFO  ProgressMeter -       chr12:13504262              7.9                 91740          11665.4
12:12:59.373 INFO  ProgressMeter -       chr12:13875810              8.0                 94260          11737.0
12:13:09.378 INFO  ProgressMeter -       chr12:14277540              8.2                 96910          11821.5
12:13:19.406 INFO  ProgressMeter -       chr12:14688981              8.4                 99700          11918.9
12:13:29.437 INFO  ProgressMeter -       chr12:15063091              8.5                102180          11976.0
12:13:39.459 INFO  ProgressMeter -       chr12:15470843              8.7                104830          12050.7
12:13:49.497 INFO  ProgressMeter -       chr12:15927753              8.9                107780          12156.0
12:13:59.520 INFO  ProgressMeter -       chr12:16289604              9.0                110160          12194.7
12:14:09.521 INFO  ProgressMeter -       chr12:16672215              9.2                112750          12255.3
12:14:19.530 INFO  ProgressMeter -       chr12:17114721              9.4                115610          12342.3
12:14:29.549 INFO  ProgressMeter -       chr12:17530386              9.5                118420          12420.9
12:14:39.552 INFO  ProgressMeter -       chr12:17861270              9.7                120790          12451.7
12:14:49.574 INFO  ProgressMeter -       chr12:18269269              9.9                123440          12509.5
12:14:59.630 INFO  ProgressMeter -       chr12:18664683             10.0                126090          12564.7
12:15:09.637 INFO  ProgressMeter -       chr12:19063695             10.2                128830          12627.8
12:15:19.662 INFO  ProgressMeter -       chr12:19486920             10.4                131690          12700.2
12:15:29.682 INFO  ProgressMeter -       chr12:19846922             10.5                134170          12734.3
12:15:39.692 INFO  ProgressMeter -       chr12:20203166             10.7                136570          12760.0
12:15:49.777 INFO  ProgressMeter -       chr12:20593141             10.9                139200          12804.6
12:15:59.782 INFO  ProgressMeter -       chr12:20869345             11.0                141250          12796.9
12:16:09.801 INFO  ProgressMeter -       chr12:21223572             11.2                143750          12829.3
12:16:19.837 INFO  ProgressMeter -       chr12:21582188             11.4                146200          12856.1
12:16:29.867 INFO  ProgressMeter -       chr12:21960424             11.5                148700          12886.5
12:16:39.890 INFO  ProgressMeter -       chr12:22326506             11.7                151210          12917.0
12:16:49.899 INFO  ProgressMeter -       chr12:22719194             11.9                153780          12952.0
12:16:59.925 INFO  ProgressMeter -       chr12:23137261             12.0                156460          12994.8
12:17:09.932 INFO  ProgressMeter -       chr12:23545809             12.2                159160          13038.4
12:17:19.954 INFO  ProgressMeter -       chr12:23995484             12.4                162080          13098.4
12:17:29.956 INFO  ProgressMeter -       chr12:24411962             12.5                164800          13141.2
12:17:39.985 INFO  ProgressMeter -       chr12:24785520             12.7                167220          13158.8
12:17:50.000 INFO  ProgressMeter -       chr12:25113333             12.9                169420          13159.1
12:18:00.018 INFO  ProgressMeter -       chr12:25457070             13.0                171770          13170.8
12:18:10.072 INFO  ProgressMeter -       chr12:25805876             13.2                174090          13179.3
12:18:20.099 INFO  ProgressMeter -       chr12:26171675             13.4                176670          13207.6
12:18:30.127 INFO  ProgressMeter -       chr12:26522142             13.5                179060          13221.0
12:18:40.145 INFO  ProgressMeter -       chr12:26885428             13.7                181480          13236.6
12:18:50.162 INFO  ProgressMeter -       chr12:27263445             13.9                184000          13258.9
12:19:00.484 INFO  ProgressMeter -       chr12:27636810             14.0                186460          13271.6
12:19:10.521 INFO  ProgressMeter -       chr12:27969583             14.2                188690          13272.3
12:19:20.536 INFO  ProgressMeter -       chr12:28385250             14.4                191320          13301.2
12:19:30.539 INFO  ProgressMeter -       chr12:28812795             14.6                194080          13338.4
12:19:40.541 INFO  ProgressMeter -       chr12:29115205             14.7                196170          13329.4
12:19:50.543 INFO  ProgressMeter -       chr12:29505837             14.9                198680          13348.7
12:20:00.564 INFO  ProgressMeter -       chr12:29883699             15.1                201200          13368.0
12:20:10.571 INFO  ProgressMeter -       chr12:30205726             15.2                203420          13367.4
12:20:20.578 INFO  ProgressMeter -       chr12:30485186             15.4                205420          13352.5
12:20:30.593 INFO  ProgressMeter -       chr12:30876405             15.6                207970          13373.1
12:20:40.596 INFO  ProgressMeter -       chr12:31270503             15.7                210590          13398.0
12:20:50.616 INFO  ProgressMeter -       chr12:31625892             15.9                213040          13411.4
12:21:00.644 INFO  ProgressMeter -       chr12:31938102             16.1                215230          13408.2
12:21:10.644 INFO  ProgressMeter -       chr12:32301281             16.2                217740          13425.1
12:21:20.687 INFO  ProgressMeter -       chr12:32702006             16.4                220420          13451.5
12:21:30.691 INFO  ProgressMeter -       chr12:33189194             16.6                223480          13500.9
12:21:40.707 INFO  ProgressMeter -       chr12:33682999             16.7                226580          13551.5
12:21:50.712 INFO  ProgressMeter -       chr12:34059300             16.9                229210          13573.4
12:22:00.742 INFO  ProgressMeter -       chr12:34463476             17.1                232060          13607.5
12:22:10.744 INFO  ProgressMeter -       chr12:35085109             17.2                235710          13687.7
12:22:20.757 INFO  ProgressMeter -       chr12:36544873             17.4                242510          13947.5
12:22:30.765 INFO  ProgressMeter -       chr12:37505658             17.6                247410          14094.1
12:22:40.772 INFO  ProgressMeter -       chr12:37899333             17.7                250270          14122.8
12:22:50.800 INFO  ProgressMeter -       chr12:38248270             17.9                252780          14131.2
12:23:00.837 INFO  ProgressMeter -       chr12:38642746             18.1                255350          14142.6
12:23:10.870 INFO  ProgressMeter -       chr12:39029833             18.2                257940          14154.9
12:23:20.889 INFO  ProgressMeter -       chr12:39528970             18.4                261050          14195.5
12:23:30.937 INFO  ProgressMeter -       chr12:39911310             18.6                263570          14203.2
12:23:40.968 INFO  ProgressMeter -       chr12:40317635             18.7                266180          14215.8
12:23:51.123 INFO  ProgressMeter -       chr12:40612317             18.9                268230          14196.9
12:24:01.145 INFO  ProgressMeter -       chr12:40984150             19.1                270740          14204.2
12:24:11.152 INFO  ProgressMeter -       chr12:41379598             19.2                273390          14218.8
12:24:21.168 INFO  ProgressMeter -       chr12:41769998             19.4                276000          14231.0
12:24:31.628 INFO  ProgressMeter -       chr12:42085823             19.6                278170          14215.1
12:24:41.640 INFO  ProgressMeter -       chr12:42487231             19.7                280900          14233.3
12:24:51.641 INFO  ProgressMeter -       chr12:42855831             19.9                283380          14238.7
12:25:01.653 INFO  ProgressMeter -       chr12:43216305             20.1                285880          14244.9
12:25:11.682 INFO  ProgressMeter -       chr12:43576508             20.2                288330          14248.3
12:25:21.717 INFO  ProgressMeter -       chr12:43945845             20.4                290810          14253.0
12:25:31.723 INFO  ProgressMeter -       chr12:44353254             20.6                293440          14265.3
12:25:41.749 INFO  ProgressMeter -       chr12:44792460             20.7                296170          14282.0
12:25:51.765 INFO  ProgressMeter -       chr12:45223435             20.9                298920          14299.5
12:26:01.764 INFO  ProgressMeter -       chr12:45648786             21.1                301650          14316.0
12:26:11.776 INFO  ProgressMeter -       chr12:46087269             21.2                304450          14335.3
12:26:21.781 INFO  ProgressMeter -       chr12:46553684             21.4                307230          14353.5
12:26:31.817 INFO  ProgressMeter -       chr12:46963664             21.6                309840          14363.2
12:26:41.838 INFO  ProgressMeter -       chr12:47329092             21.7                312300          14366.1
