Using GATK jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx40G -XX:+UseParallelGC -XX:ParallelGCThreads=2 -jar /export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar HaplotypeCaller -R /export/home/andrew/genome/hg38_v0_20231023/Homo_sapiens_assembly38.fasta -I analysis_onelane.sorted.final.bam -L chr16 -O called.chr16.recal.g.vcf.gz -G StandardAnnotation -G StandardHCAnnotation -GQB 10 -GQB 20 -GQB 30 -GQB 40 -GQB 50 -GQB 60 -GQB 70 -GQB 80 -GQB 90 --native-pair-hmm-threads 8 -ERC GVCF
12:04:56.255 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardAnnotation) is enabled for this tool by default
12:04:56.260 WARN  GATKAnnotationPluginDescriptor - Redundant enabled annotation group (StandardHCAnnotation) is enabled for this tool by default
12:04:56.348 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_compression.so
12:04:56.808 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.813 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.5.0.0
12:04:56.814 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
12:04:56.814 INFO  HaplotypeCaller - Executing as andrew@compute-0-9 on Linux v5.15.0-75-generic amd64
12:04:56.814 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v19.0.2+7-Ubuntu-0ubuntu322.04
12:04:56.814 INFO  HaplotypeCaller - Start Date/Time: May 3, 2024 at 12:04:56 PM UTC
12:04:56.814 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.814 INFO  HaplotypeCaller - ------------------------------------------------------------
12:04:56.815 INFO  HaplotypeCaller - HTSJDK Version: 4.1.0
12:04:56.815 INFO  HaplotypeCaller - Picard Version: 3.1.1
12:04:56.816 INFO  HaplotypeCaller - Built for Spark Version: 3.5.0
12:04:56.816 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
12:04:56.816 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
12:04:56.816 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
12:04:56.817 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
12:04:56.817 INFO  HaplotypeCaller - Deflater: IntelDeflater
12:04:56.817 INFO  HaplotypeCaller - Inflater: IntelInflater
12:04:56.817 INFO  HaplotypeCaller - GCS max retries/reopens: 20
12:04:56.817 INFO  HaplotypeCaller - Requester pays: disabled
12:04:56.818 INFO  HaplotypeCaller - Initializing engine
12:04:57.384 INFO  IntervalArgumentCollection - Processing 90338345 bp from intervals
12:04:57.404 INFO  HaplotypeCaller - Done initializing engine
12:04:57.407 INFO  HaplotypeCallerEngine - Tool is in reference confidence mode and the annotation, the following changes will be made to any specified annotations: 'StrandBiasBySample' will be enabled. 'ChromosomeCounts', 'FisherStrand', 'StrandOddsRatio' and 'QualByDepth' annotations have been disabled
12:04:57.530 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_utils.so
12:04:57.539 INFO  SmithWatermanAligner - AVX accelerated SmithWaterman implementation is not supported, falling back to the Java implementation
12:04:57.544 INFO  HaplotypeCallerEngine - Standard Emitting and Calling confidence set to -0.0 for reference-model confidence output
12:04:57.544 INFO  HaplotypeCallerEngine - All sites annotated with PLs forced to true for reference-model confidence output
12:04:57.557 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/export/approved/gatk-4.5.0.0/gatk-package-4.5.0.0-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
12:04:57.584 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
12:04:57.584 INFO  IntelPairHmm - Available threads: 10
12:04:57.584 INFO  IntelPairHmm - Requested threads: 8
12:04:57.584 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
12:04:57.708 INFO  ProgressMeter - Starting traversal
12:04:57.709 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
12:04:58.834 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated at position chr16:11076 and possibly subsequent; at least 10 samples must have called genotypes
12:05:02.833 WARN  DepthPerSampleHC - Annotation will not be calculated at position chr16:72527 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:02.833 WARN  StrandBiasBySample - Annotation will not be calculated at position chr16:72527 and possibly subsequent; genotype for sample analysis_onelane is not called
12:05:07.764 INFO  ProgressMeter -         chr16:197977              0.2                  1330           7937.1
12:05:18.110 INFO  ProgressMeter -         chr16:505385              0.3                  3460          10176.0
12:05:28.155 INFO  ProgressMeter -         chr16:877911              0.5                  6040          11903.0
12:06:07.854 INFO  ProgressMeter -        chr16:1034563              1.2                  7170           6133.0
12:06:17.869 INFO  ProgressMeter -        chr16:1390422              1.3                  9760           7305.4
12:06:27.891 INFO  ProgressMeter -        chr16:1793368              1.5                 12460           8289.9
12:06:37.898 INFO  ProgressMeter -        chr16:2160466              1.7                 15040           9007.0
12:06:47.907 INFO  ProgressMeter -        chr16:2725603              1.8                 18510          10078.3
12:06:57.947 INFO  ProgressMeter -        chr16:3027904              2.0                 20530          10244.7
12:07:07.971 INFO  ProgressMeter -        chr16:3412301              2.2                 23170          10672.4
12:07:20.248 INFO  ProgressMeter -        chr16:3552836              2.4                 24090          10140.5
12:07:30.279 INFO  ProgressMeter -        chr16:4002521              2.5                 27040          10633.8
12:07:40.672 INFO  ProgressMeter -        chr16:4226976              2.7                 28640          10544.7
12:07:50.715 INFO  ProgressMeter -        chr16:4361491              2.9                 29550          10248.2
12:08:00.745 INFO  ProgressMeter -        chr16:4780562              3.1                 32360          10607.7
12:08:10.869 INFO  ProgressMeter -        chr16:5136872              3.2                 34790          10806.6
12:08:20.877 INFO  ProgressMeter -        chr16:5431421              3.4                 36990          10924.0
12:08:30.877 INFO  ProgressMeter -        chr16:5759466              3.6                 39400          11089.8
12:08:40.953 INFO  ProgressMeter -        chr16:6080940              3.7                 41700          11207.5
12:08:50.962 INFO  ProgressMeter -        chr16:6278132              3.9                 43120          11091.8
12:09:00.964 INFO  ProgressMeter -        chr16:6625036              4.1                 45570          11240.1
12:09:27.630 INFO  ProgressMeter -        chr16:6774248              4.5                 46740          10389.7
12:09:37.696 INFO  ProgressMeter -        chr16:7044144              4.7                 48800          10457.7
12:09:47.699 INFO  ProgressMeter -        chr16:7337390              4.8                 50960          10543.8
12:09:57.710 INFO  ProgressMeter -        chr16:7598963              5.0                 52860          10572.0
12:10:07.742 INFO  ProgressMeter -        chr16:7912149              5.2                 55120          10667.3
12:10:17.773 INFO  ProgressMeter -        chr16:8182363              5.3                 57080          10700.4
12:10:27.778 INFO  ProgressMeter -        chr16:8488396              5.5                 59210          10763.2
12:10:45.848 INFO  ProgressMeter -        chr16:8591310              5.8                 59930          10328.7
12:10:55.911 INFO  ProgressMeter -        chr16:8724884              6.0                 60870          10195.9
12:11:05.927 INFO  ProgressMeter -        chr16:9011450              6.1                 62970          10260.8
12:11:15.947 INFO  ProgressMeter -        chr16:9183854              6.3                 64180          10180.9
12:11:25.956 INFO  ProgressMeter -        chr16:9523418              6.5                 66530          10281.6
12:11:35.984 INFO  ProgressMeter -        chr16:9872171              6.6                 68920          10382.8
12:11:50.187 INFO  ProgressMeter -       chr16:10041300              6.9                 70100          10196.9
12:12:00.189 INFO  ProgressMeter -       chr16:10364534              7.0                 72460          10290.7
12:12:10.216 INFO  ProgressMeter -       chr16:10735638              7.2                 75040          10410.0
12:12:20.226 INFO  ProgressMeter -       chr16:10983244              7.4                 76680          10396.9
12:12:30.248 INFO  ProgressMeter -       chr16:11359130              7.5                 79260          10508.7
12:12:40.279 INFO  ProgressMeter -       chr16:11606990              7.7                 81160          10527.3
12:12:50.281 INFO  ProgressMeter -       chr16:12013714              7.9                 83910          10653.6
12:13:00.379 INFO  ProgressMeter -       chr16:12380557              8.0                 86410          10741.5
12:13:10.906 INFO  ProgressMeter -       chr16:12579781              8.2                 87800          10681.3
12:13:20.923 INFO  ProgressMeter -       chr16:12901567              8.4                 90070          10739.4
12:13:30.936 INFO  ProgressMeter -       chr16:13235092              8.6                 92390          10801.1
12:13:40.982 INFO  ProgressMeter -       chr16:13600694              8.7                 94910          10882.7
12:13:51.018 INFO  ProgressMeter -       chr16:13905581              8.9                 97100          10924.2
12:14:01.534 INFO  ProgressMeter -       chr16:14339757              9.1                 99830          11014.2
12:14:11.553 INFO  ProgressMeter -       chr16:14958633              9.2                103580          11221.2
12:14:21.561 INFO  ProgressMeter -       chr16:15459476              9.4                106910          11376.4
